Width,Depth,Thickness,Weight (kg/m)
12,12,1.6,0.4
12,12,2.0,0.55
15,15,1.6,0.62
15,15,2.0,0.74
15,15,2.2,0.79
20,20,1.6,0.87
20,20,2.0,1.05
20,20,2.2,1.13
20,20,2.6,1.29
25,25,1.6,1.12
25,25,2.0,1.37
25,25,2.2,1.48
25,25,2.6,1.70
25,25,2.9,1.84
30,30,1.6,1.37
30,30,2.0,1.68
30,30,2.2,1.82
30,30,2.6,2.10
30,30,2.9,2.30
30,30,3.0,2.36
30,30,3.2,2.49
30,30,4.0,2.94
30,30,5.0,3.42
30,30,6.0,3.79
32,32,1.6,1.48
32,32,2.0,1.81
32,32,2.2,1.96
32,32,2.6,2.26
32,32,2.9,2.48
32,32,3.2,2.68
38,38,1.6,1.77
38,38,2.0,2.18
38,38,2.2,2.38
38,38,2.6,2.76
38,38,2.9,3.03
38,38,3.2,3.29
38,38,3.6,3.63
40,40,1.6,1.88
40,40,2.0,2.31
40,40,2.6,2.92
40,40,2.9,3.21
40,40,3.0,3.30
40,40,3.2,3.49
40,40,3.6,3.85
40,40,4.0,4.20
40,40,5.0,4.99
40,40,6.0,5.68
40,40,8.0,6.74
45,45,1.6,2.13
45,45,2.0,2.62
45,45,2.2,2.86
45,45,2.6,3.33
45,45,2.9,3.67
45,45,3.2,4.00
45,45,3.6,4.42
45,45,4.0,4.83
50,50,1.6,2.38
50,50,2.0,2.94
50,50,2.2,3.20
50,50,2.6,3.74
50,50,2.9,4.12
50,50,3.0,4.25
50,50,3.2,4.50
50,50,3.6,4.98
50,50,4.0,5.46
50,50,4.5,6.02
50,50,5.0,6.56
50,50,6.0,7.56
50,50,8.0,9.26
60,60,2.0,3.56
60,60,2.2,3.89
60,60,2.6,4.55
60,60,2.9,5.03
60,60,3.0,5.19
60,60,3.2,5.50
60,60,3.6,6.12
60,60,4.0,6.71
60,60,4.5,7.43
60,60,5.0,8.13
60,60,6.0,9.44
60,60,8.0,11.77
72,72,2.0,4.32
